time,abs_peak_current_ka,latitude,longitude
1717200010,4.0,68.9186,22.19
1717200010,5.0,68.8757,22.2367
1717200010,2.0,68.7596,22.2646
1717200011,1.0,68.7883,21.7543
1717200044,7.0,68.7939,21.3669
1717200044,7.0,68.7879,21.363
1717200044,13.0,68.7929,21.3855
1717200044,9.0,68.8056,21.3872
1717200044,4.0,68.727,21.466
1717200044,8.0,68.8058,21.3476
1717200044,3.0,68.7978,21.3634
1717200044,7.0,68.8101,21.3478
1717200044,4.0,68.7946,21.3664
1717200044,4.0,68.8211,21.3247
1717200044,7.0,68.7758,21.4075
1717200044,22.0,68.7851,21.4018
1717200044,6.0,68.8052,21.3374
1717200044,3.0,68.7596,21.4396
1717200044,3.0,68.7931,21.3685
1717200061,2.0,68.9444,22.1562
1717200113,2.0,68.8601,21.5987
1717200113,4.0,68.7083,22.0194
1717200114,3.0,68.8528,22.2929
1717200114,2.0,68.9317,22.1363
1717200144,3.0,68.978,21.9739
1717200144,22.0,68.9906,22.0983
1717200144,23.0,68.9933,22.0939
1717200144,5.0,68.9925,22.0953
1717200177,2.0,68.9298,22.0443
1717200177,2.0,68.8458,22.2544
1717200198,37.0,68.8274,21.3505
1717200198,16.0,68.8229,21.3635
1717200198,13.0,68.8428,21.1811
1717200198,5.0,68.5395,21.9856
1717200198,9.0,68.8435,21.3797
1717200198,3.0,68.9609,21.3432
1717200198,3.0,68.8309,21.3806
1717200198,3.0,68.894,21.3273
1717200198,3.0,68.9244,21.3114
1717200198,1.0,68.9783,21.7682
1717200199,5.0,68.7789,21.4038
1717200199,32.0,68.8038,21.3313
1717200199,1.0,68.8481,21.7496
1717200199,5.0,68.7847,21.3722
1717200199,37.0,68.8942,21.4221
1717200199,5.0,68.7838,21.373
1717200199,6.0,68.8522,21.3464
1717200199,2.0,68.8212,21.5411
1717200199,10.0,68.8945,21.417
1717200199,11.0,68.8944,21.4184
1717200199,3.0,68.9035,21.3057
1717200199,2.0,68.9538,21.5555
1717200199,6.0,68.8945,21.4179
1717200199,10.0,68.8932,21.4175
1717200199,2.0,68.936,21.4058
1717200199,4.0,68.894,21.4182
1717200210,15.0,68.9987,22.096
1717200210,3.0,68.9857,21.9937
1717200319,23.0,68.8376,21.4288
1717200319,126.0,68.8262,21.5322
1717200319,6.0,68.8538,21.4388
1717200319,1.0,68.7973,22.2728
1717200319,1.0,68.7842,21.8469
1717200319,7.0,68.8549,21.4382
1717200319,23.0,68.8899,21.3608
1717200319,10.0,68.8886,21.3621
1717200319,2.0,68.8453,21.4568
1717200320,5.0,68.8466,21.3321
1717200320,3.0,68.8415,21.3463
1717200320,13.0,68.8398,21.3508
1717200320,3.0,68.8343,21.3355
1717200320,2.0,68.8605,21.555
1717200348,2.0,68.9288,22.1773
1717200348,3.0,68.8781,22.1956
1717200436,2.0,69.0,22.0246
1717200499,2.0,68.9124,22.1926
1717200499,2.0,68.9005,21.7563
1717200523,6.0,68.7938,21.4951
1717200523,4.0,68.7209,21.6513
1717200523,2.0,68.8592,22.0852
1717200523,3.0,68.6118,21.7439
1717200523,3.0,68.6568,22.1705
1717200523,2.0,68.9004,21.6433
1717200523,2.0,68.6999,22.1828
1717200523,1.0,68.738,21.7889
1717200523,4.0,68.7951,21.4932
1717200523,2.0,68.7922,22.0808
1717200523,1.0,68.7508,22.0143
1717200523,1.0,68.8062,21.8671
1717200523,4.0,68.8988,21.4284
1717200523,5.0,68.8913,21.4495
1717200523,2.0,68.7968,21.9543
1717200523,3.0,68.8212,22.2894
1717200523,3.0,68.8823,21.547
1717200523,10.0,68.8753,21.4447
1717200523,1.0,68.962,21.8656
1717200523,3.0,68.8671,21.583
1717200580,2.0,68.8885,21.645
1717200585,4.0,68.8374,21.4369
1717200585,68.0,68.8469,21.4377
1717200585,2.0,68.8355,21.4734
1717200585,12.0,68.8304,21.4365
1717200585,17.0,68.8357,21.3731
1717200585,10.0,68.8418,21.2794
1717200585,9.0,68.8334,21.3735
1717200585,10.0,68.84,21.3991
1717200585,4.0,68.9539,21.5059
1717200585,2.0,68.7969,21.4347
1717200585,2.0,68.7794,21.7908
1717200641,6.0,68.8347,21.4477
1717200641,82.0,68.8479,21.4451
1717200641,23.0,68.8407,21.4442
1717200661,1.0,68.6533,21.7222
1717200683,5.0,68.7169,21.5542
1717200683,58.0,68.8363,21.4533
1717200683,23.0,68.8492,21.4675
1717200683,4.0,68.8356,21.5024
1717200683,3.0,68.829,21.534
1717200685,3.0,68.9408,22.1529
1717200734,3.0,68.9448,22.1604
1717200754,2.0,68.8167,22.1001
1717200756,14.0,68.8456,21.4153
1717200805,3.0,69.0657,21.9265
1717200824,3.0,68.9332,22.066
1717200835,3.0,68.8414,21.5192
1717200835,98.0,68.8339,21.4638
1717200835,7.0,68.8393,21.4773
1717200835,4.0,68.8379,21.4633
1717200835,7.0,68.8425,21.4538
1717200835,6.0,68.8345,21.4766
1717200836,5.0,68.8352,21.491
1717200900,7.0,68.8439,21.4776
1717200900,64.0,68.8505,21.4793
1717200900,16.0,68.845,21.5031
1717200900,4.0,68.8575,21.3951
